Discipline,Male,Female,Total
Arts,4390688,4958599,9349287
Science,2309286,2404015,4713301
Commerce,2064394,1966492,4030886
Engineering,2739712,1112476,3852188
Education,511255,938534,1449789
Medicine,470891,725867,1196758
Social Science,440435,464880,905315
IT,441062,306265,747327
Management,405498,245000,650498
Law,264725,133859,398584
Indian Language,113199,192748,305974
Agriculture,176592,73431,250023
Foreign Language,63888,81956,145844
Oriental Learning,42528,35239,77767
Home Science,10800,63922,74722
Social Work,34101,32985,67086
Area Studies,32448,33428,65876
Phys Ed.,36153,15949,51762
Fine Arts,25735,26027,51762
Library Science,26230,23660,49890
Journalism,13778,12990,26768
Design,7549,16952,24501
Linguistics,6663,16936,23599
Fashion Tech,4922,15489,20411
Veterinary Science,11610,7289,18899
Hospitality and Tourism,8495,2123,10618
Cultural Studies,4533,5355,9888
Paramedical Science,3257,4044,7301
Religious studies,3269,2689,5958
Fisheries Science,2592,2205,4797
Women Studies,2051,1688,3739
Footwear design,653,712,1365
Marine Science,1194,124,1318
Defense Studies,611,703,1314
Criminology,343,615,958
Gandhian Studies,91,274,365
